_entities_1	_entities_2	_entities_3
1007001358	-27	ENVO:01000065
1007001360	-27	ENVO:01000067
1007001361	-27	ENVO:01000068
1007001362	-27	ENVO:01000069
1007001363	-27	ENVO:01000070
1007001365	-27	ENVO:01000072
1007001366	-27	ENVO:01000073
1007001368	-27	ENVO:01000075
1007001369	-27	ENVO:01000076
1007001370	-27	ENVO:01000077
1007001371	-27	ENVO:01000078
1007001372	-27	ENVO:01000079
1007001373	-27	ENVO:01000080
1007001374	-27	ENVO:01000081
1007001375	-27	ENVO:01000082
1007001376	-27	ENVO:01000083
1007001377	-27	ENVO:01000084
1007001378	-27	ENVO:01000085
1007001380	-27	ENVO:01000087
1007001381	-27	ENVO:01000088
1007001382	-27	ENVO:01000089
1007001384	-27	ENVO:01000091
1007001385	-27	ENVO:01000092
1007001386	-27	ENVO:01000093
1007001387	-27	ENVO:01000094
1007001388	-27	ENVO:01000095
1007001389	-27	ENVO:01000096
1007001391	-27	ENVO:01000098
1007001392	-27	ENVO:01000099
1007001393	-27	ENVO:01000100
1007001394	-27	ENVO:01000101
1007001395	-27	ENVO:01000102
1007001396	-27	ENVO:01000103
1007001397	-27	ENVO:01000104
1007001398	-27	ENVO:01000105
1007001399	-27	ENVO:01000106
1007001400	-27	ENVO:01000107
1007001401	-27	ENVO:01000108
1007001402	-27	ENVO:01000109
1007001403	-27	ENVO:01000110
1007001404	-27	ENVO:01000111
1007001405	-27	ENVO:01000112
1007001406	-27	ENVO:01000113
1007001408	-27	ENVO:01000115
1007001409	-27	ENVO:01000116
1007001410	-27	ENVO:01000117
1007001411	-27	ENVO:01000118
1007001412	-27	ENVO:01000119
1007001413	-27	ENVO:01000120
1007001414	-27	ENVO:01000121
1007001417	-27	ENVO:01000124
1007001418	-27	ENVO:01000125
1007001419	-27	ENVO:01000126
1007001420	-27	ENVO:01000127
1007001423	-27	ENVO:01000130
1007001424	-27	ENVO:01000131
1007001425	-27	ENVO:01000132
1007001426	-27	ENVO:01000133
1007001427	-27	ENVO:01000134
1007001428	-27	ENVO:01000135
1007001430	-27	ENVO:01000137
1007001431	-27	ENVO:01000138
1007001432	-27	ENVO:01000139
1007001433	-27	ENVO:01000140
1007001434	-27	ENVO:01000141
1007001435	-27	ENVO:01000142
1007001436	-27	ENVO:01000143
1007001437	-27	ENVO:01000144
1007001438	-27	ENVO:01000145
1007001439	-27	ENVO:01000146
1007001440	-27	ENVO:01000147
1007001441	-27	ENVO:01000148
1007001442	-27	ENVO:01000149
1007001443	-27	ENVO:01000150
1007001444	-27	ENVO:01000151
1007001445	-27	ENVO:01000152
1007001446	-27	ENVO:01000153
1007001447	-27	ENVO:01000154
1007001448	-27	ENVO:01000155
1007001449	-27	ENVO:01000156
1007001450	-27	ENVO:01000157
1007001451	-27	ENVO:01000158
1007001453	-27	ENVO:01000160
1007001454	-27	ENVO:01000161
1007001466	-27	ENVO:01000173
1007001467	-27	ENVO:01000174
1007001469	-27	ENVO:01000176
1007001470	-27	ENVO:01000177
1007001471	-27	ENVO:01000178
1007001472	-27	ENVO:01000179
1007001473	-27	ENVO:01000180
1007001475	-27	ENVO:01000182
1007001476	-27	ENVO:01000183
1007001477	-27	ENVO:01000184
1007001478	-27	ENVO:01000185
1007001479	-27	ENVO:01000186
1007001480	-27	ENVO:01000187
1007001481	-27	ENVO:01000188
1007001482	-27	ENVO:01000189
1007001483	-27	ENVO:01000190
1007001484	-27	ENVO:01000191
1007001485	-27	ENVO:01000192
1007001486	-27	ENVO:01000193
1007001487	-27	ENVO:01000194
1007001488	-27	ENVO:01000195
1007001489	-27	ENVO:01000196
1007001490	-27	ENVO:01000197
1007001491	-27	ENVO:01000198
1007001492	-27	ENVO:01000199
1007001493	-27	ENVO:01000200
1007001494	-27	ENVO:01000201
1007001495	-27	ENVO:01000202
1007001497	-27	ENVO:01000204
1007001498	-27	ENVO:01000205
1007001499	-27	ENVO:01000206
1007001501	-27	ENVO:01000208
1007001502	-27	ENVO:01000209
1007001503	-27	ENVO:01000210
1007001504	-27	ENVO:01000211
1007001505	-27	ENVO:01000212
1007001506	-27	ENVO:01000213
1007001507	-27	ENVO:01000214
1007001508	-27	ENVO:01000215
1007001509	-27	ENVO:01000216
1007001510	-27	ENVO:01000217
1007001511	-27	ENVO:01000218
1007001512	-27	ENVO:01000219
1007001513	-27	ENVO:01000220
1007001514	-27	ENVO:01000221
1007001515	-27	ENVO:01000222
1007001516	-27	ENVO:01000223
1007001517	-27	ENVO:01000224
1007001518	-27	ENVO:01000225
1007001519	-27	ENVO:01000226
1007001520	-27	ENVO:01000227
1007001521	-27	ENVO:01000228
1007001522	-27	ENVO:01000229
1007001523	-27	ENVO:01000230
1007001525	-27	ENVO:01000232
1007001526	-27	ENVO:01000233
1007001527	-27	ENVO:01000234
1007001528	-27	ENVO:01000235
1007001529	-27	ENVO:01000236
1007001530	-27	ENVO:01000237
1007001531	-27	ENVO:01000238
1007001532	-27	ENVO:01000239
1007001533	-27	ENVO:01000196
1007001534	-27	ENVO:01000241
1007001535	-27	ENVO:01000242
