_names_1	_names_2
1007000168	longshore bars
1007000168	marsh bar
1007000168	marsh baric
1007000168	marsh bars
1007000168	offshore bar
1007000168	offshore baric
1007000168	offshore bars
1007000168	recurved spit
1007000168	recurved spits
1007000168	sand bank
1007000168	sand bankic
1007000168	sand banks
1007000168	sand bar
1007000168	sand baric
1007000168	sand bars
1007000168	sand hom
1007000168	sand homs
1007000168	sand lobe
1007000168	sand lobes
1007000168	sand spit
1007000168	sand spits
1007000168	sandbar
1007000168	sandbaric
1007000168	sandbars
1007000168	Shoal
1007000168	shoal patches
1007000168	shoal patcheses
1007000168	Shoalic
1007000168	Shoals
1007000168	shoalses
1007000168	shoalsic
1007000168	undersea shoal
1007000168	undersea shoalic
1007000168	undersea shoals
1007000170	ENVO:00000169
1007000170	flume (natural)
1007000170	quebrada
1007000170	quebradal
1007000170	quebradas
1007000171	dune
1007000171	dunes
1007000171	duneses
1007000171	ENVO:00000170
1007000171	sand dune
1007000171	sand dunes
1007000171	sand dunous
1007000172	ENVO:00000171
1007000172	river valley
1007000172	river valleys
1007000173	ENVO:00000172
1007000173	sand desert
1007000173	sand deserts
1007000173	sandy desert
1007000173	sandy deserts
1007000174	ENVO:00000173
1007000174	rock desert
1007000174	rock deserts
1007000174	rocky desert
1007000174	rocky deserts
1007000176	ENVO:00000175
1007000176	karst
1007000176	karst area
1007000176	karst areal
1007000176	karst areas
1007000176	karstic
1007000176	karsts
1007000178	ENVO:00000177
1007000178	glacial moraine
1007000178	glacial moraines
1007000178	glacial morainous
1007000178	moraine
1007000178	moraines
1007000178	morainous
1007000180	ENVO:00000179
1007000180	mesa
1007000182	ENVO:00000081
1007000182	mountain summit
1007000182	mountain summits
1007000182	nunatak
1007000182	nunatakic
1007000182	nunataks
1007000182	nunatakses
1007000182	nunataksic
1007000183	ENVO:00000182
1007000183	highland
1007000183	highlandic
1007000183	highlands
1007000183	intermontane plateau
1007000183	intermontane plateaus
1007000183	table mountain
1007000183	table mountains
1007000183	tableknoll
1007000183	tableknolls
1007000183	tableland
1007000183	tablelandic
1007000183	tablelands
1007000183	upland
1007000183	uplandic
1007000183	uplands
1007000184	ENVO:00000183
1007000184	stony desert
1007000184	stony deserts
1007000185	ENVO:00000184
1007000185	hanging valley
1007000185	hanging valleys
1007000186	ENVO:00000185
1007000186	raised bog
1007000186	raised bogs
1007000186	raised mire
1007000186	raised mires
1007000187	ENVO:00000186
1007000187	string bog
1007000187	string bogs
1007000187	string mire
1007000187	string mires
1007000188	ENVO:00000187
1007000188	tundra mire
1007000188	tundra mires
1007000189	ENVO:00000188
1007000189	paisa mire
1007000189	paisa mires
1007000190	ENVO:00000189
1007000190	peat swamp
1007000190	peat swampic
1007000190	peat swamps
1007000191	abyssal
1007000191	abyssal feature
1007000191	abyssal features
1007000191	abyssal hill
1007000191	abyssal hills
1007000191	Abyssalhill
1007000191	Abyssalhills
1007000191	abyssalic
1007000191	abyssalic
1007000191	abyssals
1007000191	abyssals
1007000191	ENVO:01000027
1007000191	marine abyssal zone
1007000191	marine abyssal zone biome
1007000191	marine abyssal zones
1007000191	marine abyssal zonous
1007000193	ENVO:00000192
1007000193	mudflat
1007000193	mudflatic
1007000193	mudflats
1007000194	ENVO:00000193
1007000194	olive grove
1007000194	olive groves
1007000195	ENVO:00000194
1007000195	scree
1007000195	screes
1007000196	cenote
1007000196	cenotes
1007000196	ENVO:00000195
1007000196	sink
1007000196	sinkholar
1007000196	sinkhole
1007000196	sinkholes
1007000197	alkaline flat
1007000197	alkaline flatic
1007000197	alkaline flats
1007000197	ENVO:00000196
1007000197	kavir
1007000197	kavirs
1007000197	playa
1007000197	playal
1007000197	playas
1007000198	endorheic lake
1007000198	endorheic lakes
1007000198	ENVO:00000197
1007000199	ENVO:00000198
1007000199	subglacial lake
1007000199	subglacial lakes
1007000200	ENVO:00000199
1007000200	meromictic lake
1007000200	meromictic lakes
1007000201	ENVO:00000200
1007000201	periglacial lake
1007000201	periglacial lakes
1007000202	ENVO:00000201
1007000202	fjord lake
1007000202	fjord lakes
1007000203	ENVO:00000202
1007000203	oxbow
1007000203	oxbow lake
1007000203	oxbow lakes
1007000203	oxbows
1007000204	ENVO:00000203
1007000204	rift lake
1007000204	rift lakes
1007000205	ENVO:00000204
1007000205	ephemeral spring
1007000205	ephemeral springs
1007000206	ENVO:00000205
1007000206	permanent spring
1007000206	permanent springs
1007000207	ENVO:00000206
1007000207	neritic
1007000207	neritic zone
1007000207	neritics
1007000209	ENVO:00000208
1007000209	pelagic
1007000209	pelagic zone
1007000209	pelagics
1007000210	ENVO:00000209
1007000210	epipelagic
1007000210	epipelagic zone
1007000210	epipelagics
1007000210	photic
1007000210	photic zone
1007000210	photics
1007000211	aphotic
1007000211	aphotic zone
1007000211	aphotics
1007000211	ENVO:00000210
1007000212	bathypelagic
1007000212	bathypelagic zone
1007000212	bathypelagics
1007000212	ENVO:00000211
1007000213	abyssalpelagic
1007000213	abyssalpelagic zone
1007000213	abyssalpelagics
1007000213	ENVO:00000212
1007000214	ENVO:00000213
1007000214	mesopelagic
1007000214	mesopelagic zone
1007000214	mesopelagics
1007000215	ENVO:00000214
1007000215	hadalpelagic
1007000215	hadalpelagic zone
1007000215	hadalpelagics
1007000217	ENVO:00000216
1007000217	fumarolar
1007000217	fumarole
1007000217	fumaroles
1007000218	ENVO:00000217
1007000218	solfatara
1007000218	solfataral
1007000218	solfataras
1007000219	active chimney
1007000219	active chimneys
1007000219	black smoker
1007000219	black smokers
1007000219	ENVO:00000218
1007000220	ENVO:00000219
1007000220	inland sea
1007000220	inland seal
1007000220	inland seas
1007000220	landlocked sea
1007000220	landlocked seal
1007000220	landlocked seas
1007000224	continental margin
1007000224	continental margins
1007000224	continental shelf
1007000224	continental shelfs
1007000224	continental shelves
1007000224	continental shelveses
1007000224	ENVO:00000223
1007000225	ENVO:00000224
1007000225	slightly stratified estuaries
1007000225	slightly stratified estuary
1007000226	ENVO:00000225
1007000226	highly stratified estuaries
1007000226	highly stratified estuary
